Nom	Robot	Date	SittingDuck	SittingDuck dev.	Fire	Fire dev.	RamFire	RamFire dev.	Walls	Walls dev.	SuperWalls	SuperWalls dev.	Total	Total dev.	Tourney 1	Tourney 2
	O.Paichao 4.1	2013-05-22 00:01	100.0	0.0	72.18	0.98	62.4	2.01	63.63	2.33	12.0	1.14	62.04	0.68
	O.Paichao 5.0	2013-06-10 20:49	100.0	0.0	73.6	1.01	65.6	2.08	58.28	3.07	43.97	1.49	68.29	0.83
P 	P.Robotanique 1.0	2013-03-12 14:12	90.34	0.77	35.37	1.62	34.42	0.98	5.97	0.41	3.2	0.38	33.86	0.43
	P.Beebop 1.0	2013-05-27 19:54	100.0	0.0	96.84	0.42	95.34	1.06	83.91	1.02	59.35	5.9	87.09	1.23
	P.RP 1.0	2013-06-10 21:02	100.0	0.0	99.39	0.11	95.89	1.13	98.25	0.43	93.7	0.52	97.45	0.26		3
Q 	Q.Test4 1.0	2013-05-02 23:44	100.0	0.0	88.97	0.83	85.47	0.84	71.4	1.66	31.73	3.38	75.51	0.79
	Q.Wiky 1.0	2013-06-10 03:47	99.13	0.72	82.49	1.85	78.97	1.38	81.18	1.03	48.98	3.07	78.15	0.8
R 	R.Nami 1.0	2013-03-12 00:44	100.0	0.0	16.51	0.18	6.61	0.08	2.57	0.34	2.63	0.21	25.66	0.09
	R.Nami 2.0	2013-03-25 22:47	100.0	0.0	75.84	3.07	59.78	3.54	18.88	2.74	20.73	1.92	55.05	1.15
	R.Nami 3.0	2013-04-23 00:59	100.0	0.0	91.05	2.09	90.64	2.98	91.9	1.32	65.57	1.59	87.83	0.82	2
	R.Sona 1.8	2013-06-10 23:23	99.16	0.63	88.2	1.82	87.88	2.65	85.96	5.33	69.43	5.01	86.13	1.57
